dest_ip,dest_port
178.128.167.129,1080
120.92.211.211,7890
171.250.218.158,1080
166.88.155.167,6326
89.41.106.8,4145
47.252.11.233,14186
190.186.18.161,999
88.255.102.114,1082
136.0.103.76,5777
212.126.5.245,42344
51.68.124.241,80
103.138.123.65,8090
193.233.139.106,1080
107.173.137.173,6427
167.71.176.220,9062
5.255.103.55,1080
141.148.158.143,1080
139.255.36.82,2080
5.255.113.177,1080
110.235.248.137,1080
45.135.139.221,6524
219.93.101.60,80
38.191.204.173,46696
137.66.30.33,1080
184.105.133.1,48324
103.66.168.177,8080
200.227.89.50,3128
102.129.170.129,37234
101.66.198.133,8085
192.232.49.1,8181
24.249.199.4,4145
47.254.36.213,20000
5.78.75.89,8080
36.64.5.162,5678
62.133.62.184,1082
8.210.4.18,7779
82.137.244.151,8080
199.189.255.230,1080
98.162.25.16,4145
179.1.182.28,999
31.59.20.12,6590
45.61.124.203,6532
45.43.81.120,5767
195.9.238.36,8080
189.251.57.109,999
108.165.236.206,1080
12.50.107.220,80
167.250.137.129,1080
157.66.36.29,69
45.63.116.177,1080
85.214.107.177,80
91.238.103.65,80
62.133.62.249,1082
38.7.195.52,999
68.183.52.128,9297
185.231.59.189,8080
5.252.155.13,3128
114.7.97.222,35010
217.66.207.3,33333
82.206.131.58,10801
92.118.132.125,8080
90.189.163.35,8888
115.239.234.43,7302
179.40.75.1,61362
186.201.31.189,4145
109.95.61.203,1080
154.6.129.214,5684
177.234.217.237,999
123.156.230.251,1080
49.156.38.126,5678
47.252.11.233,1081
176.94.224.86,8080
103.239.52.100,1080
8.213.222.157,18080
104.194.148.188,3128
36.95.245.81,5678
163.172.161.35,16379
185.87.121.5,8975
110.235.248.142,1080
209.97.149.157,80
45.181.122.74,999
181.120.28.228,80
66.135.227.178,4145
103.134.239.210,5678
184.181.217.206,4145
41.65.160.171,1981
77.239.108.24,3128
46.183.130.89,1080
5.160.175.226,8383
203.78.235.132,3128
95.183.140.94,80
70.166.167.38,57728
107.181.154.148,5826
107.181.154.222,5900
41.65.227.103,1981
213.190.26.158,1080
179.61.166.26,6449
120.224.234.71,7300
91.107.122.209,1080
216.215.125.178,48324
181.204.39.202,26312
91.107.182.124,82
219.249.37.107,8380
94.21.216.125,9999
217.154.155.115,8080
134.122.21.142,33346
37.49.224.243,1080
147.45.43.84,1080
143.208.130.155,5678
93.184.8.22,1080
104.143.226.149,5752
5.199.239.128,1080
36.92.87.73,5678
149.202.75.85,36666
114.5.97.150,8080
103.75.117.79,80
112.196.79.14,3129
202.138.242.6,38373
199.180.8.170,5881
118.67.220.225,4145
86.21.239.166,9050
103.81.194.167,4444
185.243.241.82,1082
212.83.143.151,31442
12.50.107.222,80
181.143.143.125,999
80.74.54.148,3128
80.78.73.120,65530
109.160.97.49,4145
94.102.235.131,32650
103.174.178.133,1020
204.152.219.10,5555
202.55.175.237,1080
130.61.179.77,1234
195.114.7.6,1080
34.81.160.132,80
192.252.209.155,14455
203.146.80.235,8080
131.100.49.50,999
103.189.218.76,6969
45.249.79.190,3629
154.209.4.204,38080
217.69.121.103,5768
182.160.116.125,1088
137.184.239.147,1080
61.171.50.169,6688
47.84.204.82,80
142.248.80.110,1080
110.235.249.8,33333
113.204.79.230,9091
8.213.222.157,443
185.87.121.35,8975
185.161.251.195,3128
104.165.189.157,6812
118.172.47.97,51327
96.30.79.84,8081
110.49.53.69,8081
103.60.214.18,51754
47.252.18.37,3128
81.177.160.200,80
95.31.42.199,3629
223.25.109.163,8199
103.188.173.101,1080
174.64.199.82,4145
104.154.186.48,80
150.129.115.253,6667
198.8.94.170,4145
103.30.211.34,80
176.9.238.167,52533
104.194.148.204,80
60.217.64.237,35292
195.211.124.250,1080
139.59.1.14,8080
209.97.150.167,3128
89.218.8.152,1080
109.68.215.84,1080
181.188.206.32,999
92.118.112.25,1082
158.180.19.230,1080
178.128.59.180,18080
45.61.125.210,6221
72.205.0.93,4145
163.172.53.142,80
91.186.213.124,1081
185.216.105.52,6629
159.54.148.142,1080
155.138.132.50,80
190.61.88.147,8080
142.54.237.34,4145
185.199.53.71,1080
103.139.126.85,8080
203.205.34.58,5678
8.39.228.193,39593
176.111.37.5,39811
78.133.163.190,4145
144.91.121.61,1088
35.212.167.35,8888
103.106.231.75,1080
77.225.177.14,10801
104.233.26.103,5941
23.175.248.21,1080
103.235.199.100,25566
160.250.54.6,9000
103.117.122.4,1080
81.90.29.194,10808
45.116.230.79,4673
181.209.105.156,8080
43.247.12.154,1080
190.94.102.251,999
92.255.205.129,8080
