dest_ip,dest_port,metadata_comment
109.68.189.22,54643,socks4
85.8.47.211,7080,http
85.8.47.212,7080,http
85.8.47.208,7080,http
85.8.47.207,7080,http
85.8.47.210,7080,http
85.8.47.209,7080,http
5.129.254.154,8888,http
85.8.47.198,7080,http
5.129.254.60,8888,http
185.179.188.54,1080,socks5
51.250.99.247,1080,socks5
5.129.254.51,8888,http
31.148.13.96,1080,socks4
212.46.242.185,1080,socks4
86.57.178.182,4153,socks4
5.129.254.5,8888,http
5.129.254.70,8888,http
45.138.157.212,1080,socks5
188.93.64.242,4153,socks4
195.190.118.86,8080,http
85.228.42.180,4153,socks4
89.110.124.45,8888,http
46.8.104.176,1080,socks4
188.134.95.74,1080,socks5
89.208.232.117,1080,socks5
145.220.227.2,1080,http
194.182.178.90,3128,http
95.165.108.201,1080,socks5
91.223.224.238,48293,socks4
94.156.180.204,1081,http
91.26.188.170,8080,http
88.84.204.217,1080,socks5
185.87.255.47,1080,socks5
45.139.77.195,1080,socks5
77.65.50.118,34159,socks4
185.87.255.54,1080,socks5
193.233.233.62,56736,http
88.213.214.254,4145,socks4
45.74.31.22,16852,socks5
45.87.251.214,8088,http
45.74.31.42,6555,socks5
86.127.209.234,1080,socks4
94.156.180.204,1081,socks5
109.207.187.15,1080,socks5
213.210.67.186,3629,socks4
45.74.31.23,14653,socks5
78.111.112.118,4145,socks4
37.9.4.101,1088,socks5
45.74.31.42,5354,socks5
45.74.31.23,9092,socks5
35.175.204.137,3128,http
195.144.24.57,3128,http
46.39.251.233,1080,socks5
45.74.31.42,6389,socks5
45.74.31.42,6712,socks5
45.81.154.75,1080,socks4
45.74.31.42,10882,socks5
24.52.147.103,5999,http
193.233.233.62,21840,http
45.74.31.40,4974,socks5
45.74.31.42,9545,socks5
83.147.217.103,1080,socks5
163.5.53.34,8082,http
76.26.114.253,39593,socks4
45.74.31.40,9865,socks5
45.74.31.23,8928,socks5
178.92.72.94,8080,http
45.74.31.40,14490,socks5
178.92.72.194,8080,http
45.74.31.42,5250,socks5
45.194.41.103,8080,http
45.81.154.75,1080,socks5
172.236.242.244,3128,http
45.74.31.42,5478,socks5
45.74.31.40,4148,socks5
45.74.31.42,8711,socks5
202.58.75.98,7777,http
45.74.31.22,4407,socks5
45.74.31.22,29291,socks5
45.74.31.42,4426,socks5
185.195.71.218,18080,socks5
157.20.253.20,3125,http
223.207.114.63,8080,http
209.50.255.91,1080,socks5
89.22.226.183,1080,socks5
45.74.31.40,11755,socks5
203.205.49.2,10129,http
103.165.232.82,8080,http
45.74.31.22,4660,socks5
45.74.31.22,6621,socks5
45.74.31.40,6517,socks5
77.163.47.213,3128,http
144.79.180.45,8080,http
45.6.224.76,1256,http
45.74.31.42,4409,socks5
45.74.31.42,8308,socks5
154.201.126.44,8080,http
49.51.233.28,1080,socks5
145.220.227.7,1080,http
74.62.23.242,39593,socks4
185.195.71.218,18080,http
49.149.92.1,8082,http
103.156.233.33,8080,http
45.74.31.22,5372,socks5
201.4.65.103,8080,http
93.112.148.204,8080,http
179.255.188.139,1080,socks5
14.251.13.17,8080,http
153.51.201.35,999,http
161.22.39.58,999,http
45.74.31.22,4450,socks5
181.119.224.25,8080,http
45.74.31.40,5107,socks5
203.150.128.103,8080,http
45.74.31.42,4385,socks5
45.74.31.42,21643,socks5
45.74.31.42,4026,socks5
45.74.31.23,14246,socks5
185.97.200.14,1080,http
150.241.245.211,8080,http
45.74.31.23,5409,socks5
45.74.31.42,8881,socks5
45.74.31.42,8219,socks5
45.74.31.42,8698,socks5
94.247.241.70,51006,socks4
45.74.31.42,9308,socks5
45.74.31.42,9094,socks5
45.74.31.42,20532,socks5
45.74.31.23,5014,socks5
43.251.225.160,1080,socks5
31.170.18.1,4153,socks4
45.74.31.42,9597,socks5
194.87.244.90,1080,socks4
154.201.71.12,2080,socks5
160.187.0.89,1080,socks5
45.74.31.23,17418,socks5
45.74.31.22,12982,socks5
45.74.31.22,5827,socks5
45.142.195.110,995,socks5
194.186.5.83,1080,socks5
45.74.31.40,5058,socks5
46.191.182.87,1080,socks5
45.74.31.22,13624,socks5
45.74.31.22,10497,socks5
85.142.124.27,1080,socks5
45.74.31.42,8619,socks5
103.23.100.9,1080,socks4
45.147.179.118,3129,http
45.74.31.22,8703,socks5
45.74.31.42,8979,socks5
193.233.233.62,56736,socks5
45.74.31.42,11265,socks5
196.75.203.171,1000,http
45.74.31.42,8855,socks5
78.128.124.108,5678,socks4
45.74.31.42,10113,socks5
138.124.85.83,1080,socks5
43.251.225.168,8080,http
81.29.249.82,5071,socks5
45.74.31.22,5183,socks5
45.192.197.165,5555,socks5
122.54.160.148,8082,http
45.74.31.40,4758,socks5
194.187.149.198,1080,socks5
103.160.68.143,80,socks5
86.127.187.149,1080,socks4
92.255.190.64,4153,socks4
45.74.31.42,9108,socks5
93.184.7.217,1080,socks4
45.74.31.42,8653,socks5
46.151.113.10,5678,socks4
88.247.31.164,4153,socks4
79.130.240.61,18080,http
103.154.76.169,8080,http
45.74.31.42,8902,socks5
45.74.31.42,8525,socks5
45.74.31.42,4145,socks5
45.74.31.42,6853,socks5
45.74.31.22,6771,socks5
66.23.230.118,3128,http
45.74.31.42,4191,socks5
195.114.7.6,1080,socks5
113.45.195.147,3128,http
45.74.31.22,4432,socks5
85.117.32.166,4153,socks4
180.165.19.173,4153,socks4
45.74.31.40,4580,socks5
131.153.163.86,20032,http
131.153.163.86,22767,http
45.74.31.22,12499,socks5
36.89.82.54,8080,http
118.179.144.142,9090,socks5
59.6.108.215,1080,socks5
45.74.31.42,9264,socks5
45.74.31.22,4389,socks5
45.74.31.40,14881,socks5
146.196.63.234,4145,socks4
85.133.190.40,8097,http
45.74.31.23,4048,socks5
45.74.31.42,6444,socks5
218.48.112.218,1080,socks5
45.74.31.23,4975,socks5
120.232.115.57,17981,http
45.74.31.22,6123,socks5
45.74.31.42,5805,socks5
131.153.163.84,8250,http
45.74.31.23,4734,socks5
45.74.31.42,6915,socks5
45.74.31.42,6373,socks5
45.74.31.23,7331,socks5
201.4.69.44,8080,http
45.74.31.40,8521,socks5
45.74.31.42,4796,socks5
45.74.31.22,4037,socks5
45.74.31.42,7122,socks5
45.74.31.42,7271,socks5
66.23.231.213,3128,http
197.224.185.3,3128,http
45.74.31.42,8167,socks5
91.202.5.45,1080,socks5
78.157.227.64,1080,socks5
45.7.67.158,999,http
45.74.31.23,29710,socks5
45.74.31.23,4285,socks5
45.74.31.42,6376,socks5
45.74.31.42,9418,socks5
45.74.31.42,10361,socks5
66.23.230.119,3128,http
45.74.31.42,13408,socks5
45.74.31.42,4312,socks5
89.169.37.254,1080,socks5
210.211.113.37,80,http
91.211.100.35,44744,socks4
81.0.49.104,18500,socks5
45.74.31.40,5228,socks5
45.74.31.22,4506,socks5
45.74.31.40,6051,socks5
93.127.133.109,1081,socks5
45.74.31.22,15639,socks5
45.74.31.22,6034,socks5
45.74.31.42,5413,socks5
47.107.107.24,80,http
193.33.157.147,8080,http
45.74.31.22,4187,socks5
185.254.198.251,1080,socks5
45.74.31.42,8477,socks5
45.74.31.42,9731,socks5
45.74.31.42,9220,socks5
45.74.31.22,13123,socks5
45.74.31.42,7801,socks5
45.74.31.42,8353,socks5
45.74.31.42,6714,socks5
45.74.31.23,5327,socks5
5.128.189.112,10809,http
45.74.31.23,5256,socks5
131.153.163.84,29979,http
45.74.31.42,5939,socks5
45.74.31.22,4982,socks5
45.74.31.42,7532,socks5
45.74.31.42,8818,socks5
45.74.31.42,4654,socks5
27.54.121.90,1080,socks5
105.214.51.155,5678,socks4
93.91.112.247,41258,http
45.74.31.42,4270,socks5
45.74.31.22,4367,socks5
45.74.31.23,5237,socks5
50.192.195.69,39792,socks4
45.74.31.42,9586,socks5
45.74.31.42,6875,socks5
145.220.227.6,1080,http
45.74.31.22,15539,socks5
45.74.31.22,5555,socks5
45.74.31.22,13471,socks5
45.74.31.42,9068,socks5
45.74.31.23,17210,socks5
95.163.20.1,4153,socks4
45.74.31.22,4728,socks5
45.74.31.23,5016,socks5
45.74.31.23,12926,socks5
45.74.31.22,16373,socks5
203.150.113.55,8080,http
45.74.31.42,8514,socks5
212.103.118.77,5678,socks4
45.74.31.42,6100,socks5
170.246.199.114,5678,socks4
196.75.159.92,1001,http
186.246.31.197,9050,socks5
45.74.31.23,4673,socks5
45.74.31.22,4347,socks5
45.74.31.42,9002,socks5
109.70.206.178,5678,socks4
45.74.31.22,13470,socks5
45.74.31.23,11836,socks5
45.74.31.42,7564,socks5
95.64.183.46,1080,socks5
145.220.227.4,3128,http
45.74.31.42,6298,socks5
45.74.31.42,8629,socks5
203.251.28.105,1080,socks5
45.74.31.40,6046,socks5
45.74.31.42,6470,socks5
45.74.31.22,5717,socks5
45.74.31.42,9324,socks5
45.74.31.42,8503,socks5
45.74.31.22,5029,socks5
145.220.227.5,9050,http
113.53.60.239,8080,http
45.74.31.42,8940,socks5
94.232.62.170,1080,socks5
45.74.31.23,9951,socks5
49.213.43.6,8080,http
45.74.31.22,47889,socks5
45.74.31.42,7772,socks5
45.74.31.42,8805,socks5
45.74.31.23,13313,socks5
45.74.31.42,4077,socks5
45.74.31.42,4748,socks5
45.74.31.40,4171,socks5
45.74.31.42,4937,socks5
45.74.31.23,4232,socks5
45.74.31.40,9839,socks5
45.74.31.23,4282,socks5
45.74.31.22,4282,socks5
45.74.31.42,9642,socks5
45.74.31.23,5475,socks5
45.74.31.23,4040,socks5
45.74.31.42,8823,socks5
45.74.31.42,7694,socks5
103.20.102.155,8180,http
45.74.31.42,8476,socks5
45.74.31.40,9735,socks5
45.74.31.42,29410,socks5
45.74.31.42,8753,socks5
45.74.31.40,9981,socks5
45.74.31.42,4413,socks5
45.74.31.40,14407,socks5
45.74.31.42,6898,socks5
45.74.31.42,4134,socks5
45.74.31.22,4700,socks5
45.74.31.22,15355,socks5
145.220.227.5,8080,http
45.74.31.40,4024,socks5
145.220.227.5,1080,http
45.74.31.42,5072,socks5
45.74.31.23,9634,socks5
87.239.251.202,1081,socks5
45.74.31.42,7685,socks5
45.74.31.22,4371,socks5
46.161.27.244,995,socks5
45.74.31.40,4366,socks5
45.74.31.22,13761,socks5
45.74.31.22,4336,socks5
212.175.50.80,8085,http
45.74.31.42,8938,socks5
45.74.31.42,9559,socks5
45.74.31.40,4032,socks5
