alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1782421425.7951,elite,783.3268435352,1782247797.7398,"AS20081 NET2ATLANTA.COM LLC",NET2ATLANTA,Jonesboro,"North America",NA,"United States",US,,false,"NET2ATLANTA.COM LLC",33.4941,-84.3809,false,"NET2ATLANTA.COM LLC",false,Georgia,success,America/New_York,30238,1782244350,1782625306.6027,4145,socks4,199.66.183.226:4145,true,716.17698669434,27710,3,99.98917475553,199.66.183.226
true,1782625300.507,elite,2204.3733746671,1750609594.9627,"AS8342 JSC RTComm.RU",RTCOMM-AS,Moscow,Europe,EU,Russia,RU,"Tsentralnyy administrativnyy okrug",false,RTCOMM,55.7497,37.5375,false,"In-Solve/1Gb.ru hosting services",true,Moscow,success,Europe/Moscow,144700,1782507305,1782625306.4319,80,http,81.177.160.200:80,false,204.44703102112,12508,42930,22.562141491396,81.177.160.200
true,1782625155.2004,elite,2840.0174830855,1781635369.5836,"AS51559 Netinternet Bilisim Teknolojileri AS",NETINTERNET,Denizli,Asia,AS,Turkey,TR,,true,"Netinternet Datacenter",37.7387,29.0925,false,,false,Denizli,success,Europe/Istanbul,20160,1782237629,1782625306.346,1080,socks4,93.113.63.11:1080,true,892.03763008118,60532,6430,90.397538902661,93.113.63.11
true,1782625047.2791,elite,636.62226529781,1776953275.8022,"AS16611 InfiniaHost.com",INFINIAHOST,Miami,"North America",NA,"United States",US,"Downtown Miami",false,InfiniaHost.com,25.7729,-80.1906,false,InfiniaHost.com,true,Florida,success,America/New_York,33102,1782396562,1782625306.3341,1080,socks4,23.175.248.21:1080,true,938.50231170654,406903,11912,97.155784773707,23.175.248.21
true,1782625306.3036,elite,9519.0799529787,1780926612.3169,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",false,"Grand Est",success,Europe/Paris,67630,1782133701,1782625306.3036,9050,socks4,161.97.153.238:9050,true,195.90640068054,26819,45574,37.046399513765,161.97.153.238
true,1782625305.7311,elite,1514.1957990552,1781598975.7913,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba (US) Technology Co., Ltd.",1.35208,103.82,false,"Alibaba.com LLC",false,"North West",success,Asia/Singapore,858877,1782202821,1782625305.7311,1080,socks5,47.236.177.236:1080,true,1478.9261817932,7564,2287,76.78408283423,47.236.177.236
true,1782615757.953,transparent,1690.9257071704,1781772499.0378,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Tencent Cloud Computing (Beijing) Co",1.35208,103.82,false,"Aceville Pte.ltd",false,"North West",success,Asia/Singapore,858877,1782374324,1782625305.5259,80,http,129.226.92.241:80,true,402.38642692566,14224,910,93.987049028677,129.226.92.241
true,1782605776.9325,elite,333.35218590297,1782493050.6276,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"netcup GmbH",49.4527,11.0783,false,"netcup GmbH",false,Bavaria,success,Europe/Berlin,90403,1782490798,1782625305.3263,1080,socks5,37.120.189.175:1080,true,166.76592826843,890,1,99.887766554433,37.120.189.175
true,1782488266.9683,elite,1127.6081315964,1781922357.3097,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Dubai,Asia,AS,"United Arab Emirates",AE,,true,"Microsoft Corporation",25.266666,55.316666,false,"Microsoft Azure Cloud (uaenorth)",false,Dubai,success,Asia/Dubai,171103,1782523957,1782625305.2956,1080,socks4,74.162.65.56:1080,true,1015.2206420898,44457,2144,95.399240359649,74.162.65.56
true,1782625305.2891,elite,3295.1314522618,1776081358.1851,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1782126348,1782625305.2891,4145,socks4,72.207.109.5:4145,true,1796.2734699249,198632,133777,59.755301450923,72.207.109.5
