dest_nt_domain,dest_port,dest_ip
us-den.prod.surfshark.com,1194,212.102.44.81
fr-par.prod.surfshark.com,1443,146.70.194.243
si-lju.prod.surfshark.com,1443,195.158.249.27
pt-opo.prod.surfshark.com,1194,103.192.205.10
au-mel.prod.surfshark.com,1194,103.192.80.131
pa-pac.prod.surfshark.com,1194,185.244.139.83
it-rom.prod.surfshark.com,1194,37.120.207.245
py-asu.prod.surfshark.com,1443,194.26.131.18
sk-bts.prod.surfshark.com,1194,185.76.8.210
is-rkv.prod.surfshark.com,1194,45.139.252.112
me-tgd.prod.surfshark.com,1194,62.197.159.34
uk-lon.prod.surfshark.com,1194,138.199.29.145
lk-cmb.prod.surfshark.com,1194,62.197.156.34
dk-cph.prod.surfshark.com,1443,146.70.92.21
pr-sju.prod.surfshark.com,1194,45.139.253.4
id-jak.prod.surfshark.com,1443,93.185.162.25
us-mia.prod.surfshark.com,1443,212.102.61.152
mo-mfm.prod.surfshark.com,1194,62.197.154.42
lu-ste.prod.surfshark.com,1194,185.153.151.149
np-ktm.prod.surfshark.com,1194,194.169.170.56
bn-bwn.prod.surfshark.com,1443,62.197.158.39
es-mad.prod.surfshark.com,1194,212.102.48.18
ve-car.prod.surfshark.com,1443,45.149.3.36
us-den.prod.surfshark.com,1443,212.102.44.96
lt-vno.prod.surfshark.com,1194,62.197.149.128
fr-par.prod.surfshark.com,1194,146.70.194.243
uk-gla.prod.surfshark.com,1194,188.240.58.67
us-hou.prod.surfshark.com,1194,149.40.56.12
ae-dub.prod.surfshark.com,1443,217.138.193.245
us-buf.prod.surfshark.com,1443,172.93.148.165
bd-dac.prod.surfshark.com,1194,62.197.153.41
ca-van.prod.surfshark.com,1194,216.246.31.87
ar-bua.prod.surfshark.com,1194,89.117.41.131
bo-sre.prod.surfshark.com,1194,194.169.171.34
ie-dub.prod.surfshark.com,1194,146.70.130.171
tr-ist.prod.surfshark.com,1443,45.136.155.51
lu-ste.prod.surfshark.com,1443,185.153.151.171
sa-ruh.prod.surfshark.com,1194,45.150.5.35
us-chi.prod.surfshark.com,1443,195.242.212.147
us-sfo.prod.surfshark.com,1443,89.117.45.179
ie-dub.prod.surfshark.com,1443,149.34.242.14
uk-gla.prod.surfshark.com,1443,188.240.58.59
ca-mon.prod.surfshark.com,1443,84.20.16.164
il-tlv.prod.surfshark.com,1194,169.150.227.4
it-mil.prod.surfshark.com,1443,212.102.54.135
us-atl.prod.surfshark.com,1443,92.119.19.66
be-bru.prod.surfshark.com,1443,194.110.115.221
ro-buc.prod.surfshark.com,1194,169.150.199.169
mn-uln.prod.surfshark.com,1443,62.197.155.69
pt-lis.prod.surfshark.com,1194,149.88.20.91
in-mum.prod.surfshark.com,1194,176.227.240.18
ad-leu.prod.surfshark.com,1194,62.197.152.163
us-dtw.prod.surfshark.com,1443,206.212.255.139
th-bkk.prod.surfshark.com,1194,151.240.88.131
mc-mcm.prod.surfshark.com,1443,62.197.151.18
dz-alg.prod.surfshark.com,1194,62.197.144.34
us-lax.prod.surfshark.com,1194,169.150.203.244
np-ktm.prod.surfshark.com,1443,194.169.170.44
cy-nic.prod.surfshark.com,1194,193.19.204.88
bg-sof.prod.surfshark.com,1194,185.94.192.69
pr-sju.prod.surfshark.com,1443,45.139.253.4
cr-sjn.prod.surfshark.com,1194,176.227.241.50
cl-san.prod.surfshark.com,1194,149.88.104.39
us-bdn.prod.surfshark.com,1194,66.235.168.191
si-lju.prod.surfshark.com,1194,195.158.249.27
kr-seo.prod.surfshark.com,1443,82.26.199.10
hr-zag.prod.surfshark.com,1194,149.102.247.141
mn-uln.prod.surfshark.com,1194,62.197.155.69
eg-cai.prod.surfshark.com,1443,62.197.147.53
kr-seo.prod.surfshark.com,1194,61.97.243.116
us-sea.prod.surfshark.com,1194,212.102.46.39
hr-zag.prod.surfshark.com,1443,79.127.144.200
us-lax.prod.surfshark.com,1443,169.150.203.244
es-vlc.prod.surfshark.com,1194,193.19.207.84
uk-lon.prod.surfshark.com,1443,178.239.163.95
tw-tai.prod.surfshark.com,1194,45.144.227.63
ma-rab.prod.surfshark.com,1443,89.117.44.34
us-sea.prod.surfshark.com,1443,212.102.46.39
uk-man.prod.surfshark.com,1443,37.120.233.243
la-vte.prod.surfshark.com,1443,194.169.168.17
nl-ams.prod.surfshark.com,1443,81.19.216.253
us-mia.prod.surfshark.com,1194,212.102.61.152
uk-man.prod.surfshark.com,1194,37.120.233.243
au-adl.prod.surfshark.com,1443,103.214.20.195
uk-edi.prod.surfshark.com,1443,188.240.57.119
us-nyc.prod.surfshark.com,1194,146.70.186.163
kz-ura.prod.surfshark.com,1443,217.9.250.99
bz-blp.prod.surfshark.com,1443,212.119.33.18
bo-sre.prod.surfshark.com,1443,194.169.171.34
us-phx.prod.surfshark.com,1443,45.86.211.64
us-bos.prod.surfshark.com,1194,149.40.50.214
md-chi.prod.surfshark.com,1194,217.9.245.101
sg-sng.prod.surfshark.com,1194,149.88.23.81
es-vlc.prod.surfshark.com,1443,193.19.207.84
lk-cmb.prod.surfshark.com,1443,62.197.156.34
ua-iev.prod.surfshark.com,1194,143.244.46.120
pa-pac.prod.surfshark.com,1443,185.244.139.85
lv-rig.prod.surfshark.com,1194,80.246.31.100
hu-bud.prod.surfshark.com,1443,146.70.120.29
mc-mcm.prod.surfshark.com,1194,62.197.151.18
za-jnb.prod.surfshark.com,1194,154.47.30.100
mx-qro.prod.surfshark.com,1194,79.127.229.176
kh-pnh.prod.surfshark.com,1443,62.197.146.27
gh-acc.prod.surfshark.com,1194,172.216.244.18
lt-vno.prod.surfshark.com,1443,62.197.149.112
ba-sjj.prod.surfshark.com,1443,89.117.46.53
my-kul.prod.surfshark.com,1194,202.176.4.23
mt-mla.prod.surfshark.com,1194,193.228.56.144
ve-car.prod.surfshark.com,1194,45.149.3.18
it-rom.prod.surfshark.com,1443,37.120.207.253
sg-sng.prod.surfshark.com,1443,149.88.106.147
is-rkv.prod.surfshark.com,1443,45.139.252.18
za-jnb.prod.surfshark.com,1443,154.47.30.100
ch-zur.prod.surfshark.com,1194,185.183.104.45
us-nyc.prod.surfshark.com,1443,146.70.186.163
us-atl.prod.surfshark.com,1194,92.119.19.66
la-vte.prod.surfshark.com,1194,194.169.168.17
jp-tok.prod.surfshark.com,1194,146.70.205.189
mm-nyt.prod.surfshark.com,1194,45.95.242.41
us-slc.prod.surfshark.com,1194,172.216.252.20
th-bkk.prod.surfshark.com,1443,151.240.88.51
no-osl.prod.surfshark.com,1443,79.127.150.135
al-tia.prod.surfshark.com,1443,172.216.14.53
es-mad.prod.surfshark.com,1443,212.102.48.18
az-bak.prod.surfshark.com,1443,89.117.47.69
bt-pbh.prod.surfshark.com,1194,62.197.157.39
us-las.prod.surfshark.com,1443,79.110.54.109
de-ber.prod.surfshark.com,1194,86.38.98.33
ca-van.prod.surfshark.com,1443,149.22.81.105
mx-qro.prod.surfshark.com,1443,79.127.229.176
au-bne.prod.surfshark.com,1194,86.38.102.13
fr-bod.prod.surfshark.com,1194,45.134.79.168
uy-mvd.prod.surfshark.com,1194,212.119.32.36
pt-lis.prod.surfshark.com,1443,149.88.20.91
us-sjc.prod.surfshark.com,1194,149.36.48.80
au-adl.prod.surfshark.com,1194,103.214.20.195
be-anr.prod.surfshark.com,1194,103.109.244.110
mo-mfm.prod.surfshark.com,1443,62.197.154.19
us-clt.prod.surfshark.com,1194,192.158.239.199
pk-khi.prod.surfshark.com,1443,151.244.60.32
br-sao.prod.surfshark.com,1194,146.70.248.5
us-ltm.prod.surfshark.com,1443,154.16.169.86
am-evn.prod.surfshark.com,1194,92.62.120.101
au-mel.prod.surfshark.com,1443,195.86.27.7
au-per.prod.surfshark.com,1443,82.23.0.19
us-ash.prod.surfshark.com,1443,37.19.220.201
us-oma.prod.surfshark.com,1443,145.223.7.13
ba-sjj.prod.surfshark.com,1194,89.117.46.37
gl-goh.prod.surfshark.com,1443,92.62.123.85
us-kan.prod.surfshark.com,1443,74.80.182.97
rs-beg.prod.surfshark.com,1443,146.70.111.91
fi-hel.prod.surfshark.com,1443,193.56.113.51
mt-mla.prod.surfshark.com,1443,193.228.56.144
mk-skp.prod.surfshark.com,1443,217.9.244.99
bd-dac.prod.surfshark.com,1443,62.197.153.51
hu-bud.prod.surfshark.com,1194,146.70.120.29
es-bcn.prod.surfshark.com,1443,82.26.159.26
li-qvu.prod.surfshark.com,1194,62.197.150.53
us-bna.prod.surfshark.com,1443,82.26.162.21
us-buf.prod.surfshark.com,1194,172.93.148.165
pe-lim.prod.surfshark.com,1194,95.173.223.113
nz-akl.prod.surfshark.com,1443,62.93.164.228
kz-ura.prod.surfshark.com,1194,217.9.250.101
us-sfo.prod.surfshark.com,1194,89.117.45.179
us-bdn.prod.surfshark.com,1443,66.235.168.191
se-sto.prod.surfshark.com,1194,130.195.218.205
ad-leu.prod.surfshark.com,1443,62.197.152.147
au-bne.prod.surfshark.com,1443,86.38.102.13
it-mil.prod.surfshark.com,1194,212.102.54.135
us-slc.prod.surfshark.com,1443,172.216.252.20
cz-prg.prod.surfshark.com,1443,185.152.64.165
us-ltm.prod.surfshark.com,1194,170.39.214.229
gr-ath.prod.surfshark.com,1194,149.102.246.103
at-vie.prod.surfshark.com,1194,87.249.133.14
br-sao.prod.surfshark.com,1443,138.199.58.39
in-mum.prod.surfshark.com,1443,176.227.240.91
bs-nas.prod.surfshark.com,1194,62.197.145.18
pk-khi.prod.surfshark.com,1194,151.244.60.34
nz-akl.prod.surfshark.com,1194,62.93.164.228
md-chi.prod.surfshark.com,1443,217.9.245.101
ee-tll.prod.surfshark.com,1443,185.174.159.119
in-del.prod.surfshark.com,1194,92.62.121.243
ph-mnl.prod.surfshark.com,1194,151.240.11.37
us-kan.prod.surfshark.com,1194,74.80.182.97
us-clt.prod.surfshark.com,1443,191.96.101.173
uk-edi.prod.surfshark.com,1194,188.240.57.101
cl-san.prod.surfshark.com,1443,149.88.104.139
my-kul.prod.surfshark.com,1443,185.196.0.18
es-bcn.prod.surfshark.com,1194,82.26.159.26
dz-alg.prod.surfshark.com,1443,62.197.144.34
at-vie.prod.surfshark.com,1443,87.249.133.12
co-bog.prod.surfshark.com,1443,149.88.111.68
fr-bod.prod.surfshark.com,1443,45.134.79.168
ar-bua.prod.surfshark.com,1443,89.117.41.115
fi-hel.prod.surfshark.com,1194,193.56.113.51
ro-buc.prod.surfshark.com,1443,85.204.124.93
de-ber.prod.surfshark.com,1443,86.38.98.73
ee-tll.prod.surfshark.com,1194,185.174.159.117
fr-mrs.prod.surfshark.com,1443,103.93.42.23
bs-nas.prod.surfshark.com,1443,62.197.145.52
pl-gdn.prod.surfshark.com,1194,37.28.156.227
us-bna.prod.surfshark.com,1194,82.26.162.6
be-bru.prod.surfshark.com,1194,5.253.205.189
gl-goh.prod.surfshark.com,1194,92.62.123.83
uz-tas.prod.surfshark.com,1194,94.154.124.83
us-las.prod.surfshark.com,1194,79.110.54.109
gh-acc.prod.surfshark.com,1443,172.216.244.20
ma-rab.prod.surfshark.com,1194,89.117.44.36
bn-bwn.prod.surfshark.com,1194,62.197.158.39
id-jak.prod.surfshark.com,1194,93.185.162.115
pl-waw.prod.surfshark.com,1443,45.128.38.147
im-iom.prod.surfshark.com,1443,62.197.148.69
au-per.prod.surfshark.com,1194,82.23.0.10
gr-ath.prod.surfshark.com,1443,79.127.181.185
im-iom.prod.surfshark.com,1194,62.197.148.67
us-phx.prod.surfshark.com,1194,172.216.11.35
hk-hkg.prod.surfshark.com,1194,156.146.45.153
fr-mrs.prod.surfshark.com,1194,103.93.42.23
cr-sjn.prod.surfshark.com,1443,176.227.241.52
de-fra.prod.surfshark.com,1443,146.70.178.125
us-bos.prod.surfshark.com,1443,149.40.50.214
uy-mvd.prod.surfshark.com,1443,212.119.32.36
no-osl.prod.surfshark.com,1194,185.253.97.109
ng-lag.prod.surfshark.com,1443,79.127.149.39
ca-mon.prod.surfshark.com,1194,195.86.1.41
us-dtw.prod.surfshark.com,1194,206.212.255.83
us-hou.prod.surfshark.com,1443,37.19.221.66
ua-iev.prod.surfshark.com,1443,143.244.46.120
in-del.prod.surfshark.com,1443,92.62.121.243
pl-gdn.prod.surfshark.com,1443,5.133.9.205
vn-hcm.prod.surfshark.com,1194,83.97.112.22
us-dal.prod.surfshark.com,1443,169.150.254.99
py-asu.prod.surfshark.com,1194,194.26.131.20
ng-lag.prod.surfshark.com,1194,79.127.149.39
mk-skp.prod.surfshark.com,1194,217.9.244.99
tr-ist.prod.surfshark.com,1194,45.136.155.51
au-syd.prod.surfshark.com,1194,95.173.193.9
lv-rig.prod.surfshark.com,1443,80.246.31.100
pt-opo.prod.surfshark.com,1443,103.192.205.10
rs-beg.prod.surfshark.com,1194,37.120.193.229
co-bog.prod.surfshark.com,1194,149.88.111.68
tw-tai.prod.surfshark.com,1443,45.144.227.58
de-fra.prod.surfshark.com,1194,146.70.178.125
nl-ams.prod.surfshark.com,1194,143.244.42.74
vn-hcm.prod.surfshark.com,1443,83.97.112.22
ec-uio.prod.surfshark.com,1443,92.62.122.20
be-anr.prod.surfshark.com,1443,103.109.244.110
ph-mnl.prod.surfshark.com,1443,151.240.11.37
li-qvu.prod.surfshark.com,1443,62.197.150.53
cz-prg.prod.surfshark.com,1194,185.152.64.165
ca-tor.prod.surfshark.com,1443,149.88.98.7
pe-lim.prod.surfshark.com,1443,95.173.223.113
cy-nic.prod.surfshark.com,1443,193.19.204.80
sa-ruh.prod.surfshark.com,1443,45.150.5.4
us-chi.prod.surfshark.com,1194,195.242.212.147
bg-sof.prod.surfshark.com,1443,185.94.192.69
se-sto.prod.surfshark.com,1443,130.195.218.205
uz-tas.prod.surfshark.com,1443,94.154.124.85
pl-waw.prod.surfshark.com,1194,45.128.38.131
ge-tbs.prod.surfshark.com,1443,83.97.115.20
az-bak.prod.surfshark.com,1194,89.117.47.69
us-dal.prod.surfshark.com,1194,212.102.40.66
bt-pbh.prod.surfshark.com,1443,62.197.157.39
jp-tok.prod.surfshark.com,1443,146.70.205.189
au-syd.prod.surfshark.com,1443,95.173.193.9
ge-tbs.prod.surfshark.com,1194,83.97.115.20
us-ash.prod.surfshark.com,1194,37.19.220.201
bz-blp.prod.surfshark.com,1194,212.119.33.20
ec-uio.prod.surfshark.com,1194,92.62.122.36
dk-cph.prod.surfshark.com,1194,146.70.92.21
am-evn.prod.surfshark.com,1443,92.62.120.101
us-sjc.prod.surfshark.com,1443,149.36.48.71
me-tgd.prod.surfshark.com,1443,62.197.159.34
ch-zur.prod.surfshark.com,1443,185.183.104.45
kh-pnh.prod.surfshark.com,1194,62.197.146.27
hk-hkg.prod.surfshark.com,1443,156.146.45.153
us-oma.prod.surfshark.com,1194,145.223.7.33
eg-cai.prod.surfshark.com,1194,62.197.147.53
al-tia.prod.surfshark.com,1194,172.216.15.234
sk-bts.prod.surfshark.com,1443,146.70.114.181
mm-nyt.prod.surfshark.com,1443,45.95.242.41
ae-dub.prod.surfshark.com,1194,217.138.193.245
ca-tor.prod.surfshark.com,1194,149.88.98.7
il-tlv.prod.surfshark.com,1443,169.150.227.2
